"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","Polarity","Emotions","ProcessedText","Handle","DerivedDate","hhmmss","DayCat"
"11",11,"Shite service and rude staff at @easyJet no excuses to be rude to people who are paying to fly #easyjet #shitestaff",FALSE,0,NA,"2018/01/13 17:46:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JBStoke",0,FALSE,FALSE,NA,NA,"negative","unknown","shite service and rude staff atno excuses to be rude to people who are paying to fly easyjet shitestaff","@easyJet",2018-01-13 17:46:00,17:46:00,"Evening"
"12",12,"RT @VideoMarketerUK: Lazy Days of Sunny Rays
Golden Sands on Sparkling Bays
From @Gatwick_Airport with @easyJet @British_Airways only 35 mi…",FALSE,0,NA,"2018/01/13 17:46:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Heidifromjersey",3,TRUE,FALSE,NA,NA,"positive","sadness","lazy days of sunny rays
golden sands on sparkling bays
fromwithonlymi…","@easyJet",2018-01-13 17:46:00,17:46:00,"Evening"
"13",13,"@easyJet What particular security reasons? Shocking that there are no special circumstances for this.",FALSE,0,"easyJet","2018/01/13 17:32:00",FALSE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"neutral","fear","what particular security reasons shocking that there are no special circumstances for this","@easyJet",2018-01-13 17:32:00,17:32:00,"Evening"
"14",14,"@alanbav1 @British_Airways @easyJet And if it asks me one more time if I’m a fkng robot, I’m going lose it!!",FALSE,0,"alanbav1","2018/01/13 17:26:00",FALSE,9.52e+17,9.52e+17,4235221341,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MinisterForGin",0,FALSE,FALSE,NA,NA,"negative","unknown","and if it asks me one more time if i’m a fkng robot i’m going lose it","@easyJet",2018-01-13 17:26:00,17:26:00,"Evening"
"15",15,"@easyJet So because she's 6 I have to pay but if she was under 5 I could take a car seat and one other item free of charge?",FALSE,0,"easyJet","2018/01/13 17:25:00",FALSE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ericahollas",0,FALSE,FALSE,NA,NA,"negative","joy","so because shesi have to pay but if she was underi could take a car seat and one other item free of charge","@easyJet",2018-01-13 17:25:00,17:25:00,"Evening"
"16",16,"RT @DorsetHolidogs: Finally on our way home on an @easyJet flight from #Grenoble after our @BRlTlSHAIRWAYS flight was unceremoniously cance…",FALSE,0,NA,"2018/01/13 17:23:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ponjabmnogra",5,TRUE,FALSE,NA,NA,"negative","unknown","finally on our way home on anflight from grenoble after ourflight was unceremoniously cance…","@easyJet",2018-01-13 17:23:00,17:23:00,"Evening"
"17",17,"RT @great_oil: Great news

Direct @easyJet flights from @EDI_Airport to Sevilla

See you soon @SevillaTapas @SVQconcierge <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>

#Seville #Sevi…",FALSE,0,NA,"2018/01/13 17:23:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peterbrownbarra",5,TRUE,FALSE,NA,NA,"positive","joy","great news

directflights fromto sevilla

see you soon

seville sevi…","@easyJet",2018-01-13 17:23:00,17:23:00,"Evening"
"18",18,"@easyJet Thank you but it is being dealt with via a different method .",FALSE,0,"easyJet","2018/01/13 17:19:00",FALSE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrealholloway",0,FALSE,FALSE,NA,NA,"positive","unknown","thank you but it is being dealt with via a different method","@easyJet",2018-01-13 17:19:00,17:19:00,"Evening"
"19",19,"@easyJet can you please find out where the red floral dress the lady wears in your advert is from? If you do I'll b… https://t.co/aNkldWMUDC",FALSE,0,"easyJet","2018/01/13 17:14:00",TRUE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lellahat",0,FALSE,FALSE,NA,NA,"neutral","joy","can you please find out where the red floral dress the lady wears in your advert is from if you do ill b…","@easyJet",2018-01-13 17:14:00,17:14:00,"Evening"
"20",20,"@easyJet why do I keep getting this error message when I try to check myself in? https://t.co/t0PWVK4COa",FALSE,0,"easyJet","2018/01/13 17:14:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexlandrumx",0,FALSE,FALSE,NA,NA,"negative","disgust","why do i keep getting this error message when i try to check myself in","@easyJet",2018-01-13 17:14:00,17:14:00,"Evening"
"21",21,"RT @Pret: @veganescapes @LadyBLouLou @Gatwick_Airport @easyJet @11elevenuk @vegansussex Have an amazing time! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,"2018/01/13 17:12:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vegansussex",2,TRUE,FALSE,NA,NA,"positive","surprise","have an amazing time ","@easyJet",2018-01-13 17:12:00,17:12:00,"Evening"
"22",22,"Congrats to @easyJet take off 10 min earlier than expected!",FALSE,2,NA,"2018/01/13 17:00:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DominicSandell",0,FALSE,FALSE,NA,NA,"positive","unknown","congrats totake offmin earlier than expected","@easyJet",2018-01-13 17:00:00,17:00:00,"Evening"
"23",23,"RT @ShabadChawla: What a joke. @easyJet promise to reimburse meals after a flight cancellation, then flat out refuse. Can they just lie and…",FALSE,0,NA,"2018/01/13 16:57:00",FALSE,NA,9.52e+17,NA,"<a href=""http://racheljones2017.com"" rel=""nofollow"">racheljones2017</a>","jachel1980jones",2,TRUE,FALSE,NA,NA,"negative","unknown","what a jokepromise to reimburse meals after a flight cancellation then flat out refuse can they just lie and…","@easyJet",2018-01-13 16:57:00,16:57:00,"Evening"
"24",24,"@CaitlynAdair @easyJet What do you think a crew members back would be like after 30 years of lifting people’s bags?… https://t.co/wvGqN9QTDs",FALSE,0,"CaitlynAdair","2018/01/13 16:48:00",TRUE,9.52e+17,9.52e+17,193011797,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeCessnaPilot",0,FALSE,FALSE,NA,NA,"positive","joy","what do you think a crew members back would be like afteryears of lifting people’s bags…","@easyJet",2018-01-13 16:48:00,16:48:00,"Evening"
"25",25,"What a joke. @easyJet promise to reimburse meals after a flight cancellation, then flat out refuse. Can they just l… https://t.co/1jNchxtp6i",FALSE,0,NA,"2018/01/13 16:40:00",TRUE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShabadChawla",2,FALSE,FALSE,NA,NA,"negative","unknown","what a jokepromise to reimburse meals after a flight cancellation then flat out refuse can they just l…","@easyJet",2018-01-13 16:40:00,16:40:00,"Evening"
"26",26,"@easyJet elderly lady on my flight asked for help lifting bag into overhead locker. Cabin crew refused as app “not allowed”. Why is this?",FALSE,0,"easyJet","2018/01/13 16:23:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"negative","unknown","elderly lady on my flight asked for help lifting bag into overhead locker cabin crew refused as app “not allowed” why is this","@easyJet",2018-01-13 16:23:00,16:23:00,"Evening"
"27",27,"@akinsoul @easyJet hmmm not sold on that",FALSE,0,"akinsoul","2018/01/13 16:16:00",FALSE,9.52e+17,9.52e+17,398803040,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","starflyergold",0,FALSE,FALSE,NA,NA,"positive","unknown","hmmm not sold on that","@easyJet",2018-01-13 16:16:00,16:16:00,"Evening"
"28",28,"@easyJet first time flying easyJet yesterday and was quite impressed. Departed 15 mins early from Liverpool and arr… https://t.co/uFw4ieAzus",FALSE,0,"easyJet","2018/01/13 16:03:00",TRUE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rbarkley82",0,FALSE,FALSE,NA,NA,"positive","unknown","first time flying easyjet yesterday and was quite impressed departedmins early from liverpool and arr…","@easyJet",2018-01-13 16:03:00,16:03:00,"Evening"
"29",29,"Just checked in for my @easyJet trip to #Alicante next month. Can’t wait!",FALSE,1,NA,"2018/01/13 15:51:00",FALSE,NA,9.52e+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","NORTHER_AVIATOR",0,FALSE,FALSE,NA,NA,"positive","unknown","just checked in for mytrip to alicante next month can’t wait","@easyJet",2018-01-13 15:51:00,15:51:00,"Noon"
"30",30,"@easyJet But surely it should be based on your actual flight date and not when you paid. The flight takes place aft… https://t.co/Vt25IaMv4U",FALSE,0,"easyJet","2018/01/13 15:48:00",TRUE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prodlegacy",0,FALSE,FALSE,NA,NA,"neutral","unknown","but surely it should be based on your actual flight date and not when you paid the flight takes place aft…","@easyJet",2018-01-13 15:48:00,15:48:00,"Noon"
"31",31,"RT @joelat___: #Onthisday eleven years ago at @GeneveAeroport - @easyjet @Boeing #B737-700

https://t.co/GlYnlmFFck

#avgeek #aviation #tra…",FALSE,0,NA,"2018/01/13 15:40:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spotter_bcnlebl",5,TRUE,FALSE,NA,NA,"positive","unknown","onthisday eleven years ago atb



avgeek aviation tra…","@easyJet",2018-01-13 15:40:00,15:40:00,"Noon"
"32",32,"@BobbyNuisance @easyJet Disgusting!",FALSE,0,"BobbyNuisance","2018/01/13 15:19:00",FALSE,9.52e+17,9.52e+17,3460814482,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VirginiaSwallow",0,FALSE,FALSE,NA,NA,"negative","disgust","disgusting","@easyJet",2018-01-13 15:19:00,15:19:00,"Noon"
"33",33,"RT @John_W_Mullins: If you're flying @easyJet this month, be sure to read my interview for EasyJet Traveller Magazine on #venturecapital #c…",FALSE,0,NA,"2018/01/13 15:18:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StartUp_Matt",1,TRUE,FALSE,NA,NA,"positive","unknown","if youre flyingthis month be sure to read my interview for easyjet traveller magazine on venturecapital c…","@easyJet",2018-01-13 15:18:00,15:18:00,"Noon"
"34",34,"@easyJet Yes. Thanks. I appreciate the call. Summary: Having still not been paid you still say it’s impossible to c… https://t.co/hIPYPH4Kv7",FALSE,0,"easyJet","2018/01/13 15:16:00",TRUE,9.52e+17,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mickgadd",0,FALSE,FALSE,NA,NA,"neutral","joy","yes thanks i appreciate the call summary having still not been paid you still say it’s impossible to c…","@easyJet",2018-01-13 15:16:00,15:16:00,"Noon"
"35",35,"If you're flying @easyJet this month, be sure to read my interview for EasyJet Traveller Magazine on… https://t.co/5uVeaV66TK",FALSE,0,NA,"2018/01/13 15:15:00",TRUE,NA,9.52e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","John_W_Mullins",1,FALSE,FALSE,NA,NA,"positive","unknown","if youre flyingthis month be sure to read my interview for easyjet traveller magazine on…","@easyJet",2018-01-13 15:15:00,15:15:00,"Noon"
"36",36,"@McWhirterAlex @KLM @easyJet @EconomyBeyond Well there Amstelveen HQ is a mere local agent from the big French HQ s… https://t.co/aLAsFf2Id8",FALSE,1,"McWhirterAlex","2018/01/13 15:12:00",TRUE,9.52e+17,9.52e+17,1538739204,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","drs_Andor",0,FALSE,FALSE,NA,NA,"negative","unknown","well there amstelveen hq is a mere local agent from the big french hq s…","@easyJet",2018-01-13 15:12:00,15:12:00,"Noon"
"37",37,"@starflyergold @easyJet This evening! I started with my other fave....Kalbsbeuschel <ed><U+00A0><U+00BE><ed><U+00B4><U+00A4> https://t.co/771zbWd5ot",FALSE,0,"starflyergold","2018/01/13 14:42:00",FALSE,9.52e+17,9.52e+17,268794263,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akinsoul",0,FALSE,FALSE,NA,NA,"positive","unknown","this evening i started with my other favekalbsbeuschel ","@easyJet",2018-01-13 14:42:00,14:42:00,"Noon"
"38",38,"@easyJet ""noone asks you to book on easyJet"" your personnel at LGW is incredibly helpful....",FALSE,0,"easyJet","2018/01/13 14:40:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mbanzi",0,FALSE,FALSE,NA,NA,"positive","unknown","noone asks you to book on easyjet your personnel at lgw is incredibly helpful","@easyJet",2018-01-13 14:40:00,14:40:00,"Noon"
"39",39,"@easyJet still no reply :(",FALSE,0,"easyJet","2018/01/13 14:31:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielCarlin21",0,FALSE,FALSE,NA,NA,"positive","unknown","still no reply","@easyJet",2018-01-13 14:31:00,14:31:00,"Noon"
"40",40,"@easyJet hi there. Can I just confirm that if you book an extra leg room seat you can bring 2 items of hand luggage?",FALSE,0,"easyJet","2018/01/13 14:22:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kimac101",0,FALSE,FALSE,NA,NA,"positive","unknown","hi there can i just confirm that if you book an extra leg room seat you can bringitems of hand luggage","@easyJet",2018-01-13 14:22:00,14:22:00,"Noon"
"41",41,"@easyJet when will flights on 29th Oct be a available to book?",FALSE,0,"easyJet","2018/01/13 14:17:00",FALSE,NA,9.52e+17,38676903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cdavidsonmk",0,FALSE,FALSE,NA,NA,"positive","unknown","when will flights on th oct be a available to book","@easyJet",2018-01-13 14:17:00,14:17:00,"Noon"
"42",42,"RT @covesting: <U+2708><U+FE0F> Now @easyJet Traveler magazine readers can get familiar with what cryptocurrencies are all about! We will provide a serie…",FALSE,0,NA,"2018/01/13 14:15:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Roman03091653",627,TRUE,FALSE,NA,NA,"neutral","sadness"," nowtraveler magazine readers can get familiar with what cryptocurrencies are all about we will provide a serie…","@easyJet",2018-01-13 14:15:00,14:15:00,"Noon"
"43",43,"RT @oscargbuzz: @BobbyNuisance @easyJet Cheaper to change your name by deed poll and get a new passport (£15 + £75)",FALSE,0,NA,"2018/01/13 14:08:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BobbyNuisance",3,TRUE,FALSE,NA,NA,"negative","sadness","cheaper to change your name by deed poll and get a new passport","@easyJet",2018-01-13 14:08:00,14:08:00,"Noon"
"44",44,"RT @VirginiaSwallow: @BobbyNuisance @easyJet Must be the extortionate cost of changing some text in a computer system....",FALSE,0,NA,"2018/01/13 14:08:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BobbyNuisance",1,TRUE,FALSE,NA,NA,"positive","unknown","must be the extortionate cost of changing some text in a computer system","@easyJet",2018-01-13 14:08:00,14:08:00,"Noon"
"45",45,"@easyJet_press @easyJet Could someone explain this please, because I’m confused. https://t.co/2pCBIOZkLw",FALSE,0,"easyJet_press","2018/01/13 14:08:00",FALSE,NA,9.52e+17,2385206676,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BobbyNuisance",0,FALSE,FALSE,NA,NA,"neutral","joy","could someone explain this please because i’m confused","@easyJet",2018-01-13 14:08:00,14:08:00,"Noon"
"46",46,"@VirginiaSwallow @easyJet It’s outrageous, no?",FALSE,1,"VirginiaSwallow","2018/01/13 14:07:00",FALSE,9.52e+17,9.52e+17,7.73e+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BobbyNuisance",0,FALSE,FALSE,NA,NA,"negative","fear","it’s outrageous no","@easyJet",2018-01-13 14:07:00,14:07:00,"Noon"
"47",47,"If flying from @EDI_Airport to #Seville with @easyJet get the most out of you trip by looking up @SevillaTapas… https://t.co/CiFfRRMXj3",FALSE,3,NA,"2018/01/13 14:06:00",TRUE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","great_oil",0,FALSE,FALSE,NA,NA,"positive","unknown","if flying fromto seville withget the most out of you trip by looking up …","@easyJet",2018-01-13 14:06:00,14:06:00,"Noon"
"48",48,"@great_oil @easyJet @EDI_Airport @SevillaTapas @SVQconcierge This is an option for June <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,1,"great_oil","2018/01/13 14:02:00",FALSE,9.52e+17,9.52e+17,1732730760,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheWhiskyKiwi",0,FALSE,FALSE,NA,NA,"positive","unknown","this is an option for june ","@easyJet",2018-01-13 14:02:00,14:02:00,"Noon"
"49",49,"@EDI_Airport @Independent @easyJet My favourite place in the world <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,"EDI_Airport","2018/01/13 13:53:00",FALSE,9.52e+17,9.52e+17,41570978,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oblibby",0,FALSE,FALSE,NA,NA,"positive","unknown","my favourite place in the world ","@easyJet",2018-01-13 13:53:00,13:53:00,"Noon"
"50",50,"RT @PaidWhenDelayed: @chlolou26 @Flight_Refunds @easyJet You should send your formal claim letter including the legal details of the EU R.2…",FALSE,0,NA,"2018/01/13 13:50:00",FALSE,NA,9.52e+17,NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">Snake8</a>","Flight_Refunds",1,TRUE,FALSE,NA,NA,"positive","unknown","you should send your formal claim letter including the legal details of the eu r…","@easyJet",2018-01-13 13:50:00,13:50:00,"Noon"
"51",51,"Great news

Direct @easyJet flights from @EDI_Airport to Sevilla

See you soon @SevillaTapas @SVQconcierge <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>… https://t.co/G858o0UuNH",FALSE,6,NA,"2018/01/13 13:49:00",TRUE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","great_oil",5,FALSE,FALSE,NA,NA,"positive","joy","great news

directflights fromto sevilla

see you soon…","@easyJet",2018-01-13 13:49:00,13:49:00,"Noon"
"52",52,"#Onthisday eleven years ago at @GeneveAeroport - @easyjet @Boeing #B737-700

https://t.co/GlYnlmFFck

#avgeek… https://t.co/wGKkVvIhTi",FALSE,9,NA,"2018/01/13 13:48:00",TRUE,NA,9.52e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joelat___",5,FALSE,FALSE,NA,NA,"positive","unknown","onthisday eleven years ago atb



avgeek…","@easyJet",2018-01-13 13:48:00,13:48:00,"Noon"
"53",53,"@chlolou26 @Flight_Refunds @easyJet You should send your formal claim letter including the legal details of the EU… https://t.co/hdHYG7mD8e",FALSE,1,"chlolou26","2018/01/13 13:47:00",TRUE,9.52e+17,9.52e+17,9.01e+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaidWhenDelayed",1,FALSE,FALSE,NA,NA,"positive","unknown","you should send your formal claim letter including the legal details of the eu…","@easyJet",2018-01-13 13:47:00,13:47:00,"Noon"
"54",54,".@Independent looks at the best way to spend 48 hours in the ""Southern Spanish gem"" that is #Seville! You can now f… https://t.co/GgYckzlcF2",FALSE,9,NA,"2018/01/13 13:47:00",TRUE,NA,9.52e+17,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","EDI_Airport",1,FALSE,FALSE,NA,NA,"neutral","unknown","looks at the best way to spendhours in the southern spanish gem that is seville you can now f…","@easyJet",2018-01-13 13:47:00,13:47:00,"Noon"
"55",55,"Hey @easyJet - any danger of the 12.35 from LPA to LGW taking off anytime soon?! <U+2708><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>",FALSE,0,NA,"2018/01/13 13:47:00",FALSE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamesgraydj",0,FALSE,FALSE,NA,NA,"negative","unknown","heyany danger of thefrom lpa to lgw taking off anytime soon ","@easyJet",2018-01-13 13:47:00,13:47:00,"Noon"
"56",56,"@easyJet What provisions do you have in place for Type 1 diabetics to carry extra hand luggage on board? Thanks! @DiabetesUK",FALSE,0,"easyJet","2018/01/13 13:40:00",FALSE,NA,9.52e+17,38676903,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","LizzyCorsby",0,FALSE,FALSE,NA,NA,"positive","unknown","what provisions do you have in place for typediabetics to carry extra hand luggage on board thanks","@easyJet",2018-01-13 13:40:00,13:40:00,"Noon"
"57",57,"What an actual joke @TUIUK are! I can’t check in for my flight online as “all the online seats have been allocated… https://t.co/PDgiy2jCCU",FALSE,0,NA,"2018/01/13 13:37:00",TRUE,NA,9.52e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DannyHorne15",0,FALSE,FALSE,NA,NA,"negative","unknown","what an actual jokeare i can’t check in for my flight online as “all the online seats have been allocated…","@easyJet",2018-01-13 13:37:00,13:37:00,"Noon"
