"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","Polarity","Emotions","ProcessedText","Handle"
"11","@easyJet How about communicating this BEFORE rather than after? And you keep saying ""gesture of goodwill"", this is… https://t.co/jTx71nfp2B",FALSE,0,"easyJet",2018-01-13 17:46:44,TRUE,"952228716905730049","952235480434794497","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShabadChawla",0,FALSE,FALSE,NA,NA,"positive","joy","how about communicating this before rather than after and you keep saying gesture of goodwill this is…","@easyJet"
"12","Shite service and rude staff at @easyJet no excuses to be rude to people who are paying to fly #easyjet #shitestaff",FALSE,0,NA,2018-01-13 17:46:39,FALSE,NA,"952235459215806464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JBStoke",0,FALSE,FALSE,NA,NA,"negative","unknown","shite service and rude staff atno excuses to be rude to people who are paying to fly easyjet shitestaff","@easyJet"
"13","RT @VideoMarketerUK: Lazy Days of Sunny Rays
Golden Sands on Sparkling Bays
From @Gatwick_Airport with @easyJet @British_Airways only 35 mi…",FALSE,0,NA,2018-01-13 17:46:33,FALSE,NA,"952235432393273344",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Heidifromjersey",3,TRUE,FALSE,NA,NA,"positive","joy","lazy days of sunny rays
golden sands on sparkling bays
fromwithonlymi…","@easyJet"
"14","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:44:48,FALSE,NA,"952234991089369089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrfaez",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"15","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:39:18,FALSE,NA,"952233608391077894",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StevieAliviya5",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"16","@easyJet What particular security reasons? Shocking that there are no special circumstances for this.",FALSE,0,"easyJet",2018-01-13 17:32:48,FALSE,"952216799151616001","952231970850967552","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"neutral","unknown","what particular security reasons shocking that there are no special circumstances for this","@easyJet"
"17","@alanbav1 @British_Airways @easyJet And if it asks me one more time if I’m a fkng robot, I’m going lose it!!",FALSE,0,"alanbav1",2018-01-13 17:26:17,FALSE,"952217417022935041","952230331624706049","4235221341","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MinisterForGin",0,FALSE,FALSE,NA,NA,"negative","unknown","and if it asks me one more time if i’m a fkng robot i’m going lose it","@easyJet"
"18","@easyJet So because she's 6 I have to pay but if she was under 5 I could take a car seat and one other item free of charge?",FALSE,0,"easyJet",2018-01-13 17:25:17,FALSE,"952226098233905158","952230081220562944","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ericahollas",0,FALSE,FALSE,NA,NA,"negative","joy","so because shesi have to pay but if she was underi could take a car seat and one other item free of charge","@easyJet"
"19","RT @DorsetHolidogs: Finally on our way home on an @easyJet flight from #Grenoble after our @BRlTlSHAIRWAYS flight was unceremoniously cance…",FALSE,0,NA,2018-01-13 17:23:49,FALSE,NA,"952229712029474817",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ponjabmnogra",5,TRUE,FALSE,NA,NA,"negative","unknown","finally on our way home on anflight from grenoble after ourflight was unceremoniously cance…","@easyJet"
"20","RT @great_oil: Great news

Direct @easyJet flights from @EDI_Airport to Sevilla

See you soon @SevillaTapas @SVQconcierge <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>

#Seville #Sevi…",FALSE,0,NA,2018-01-13 17:23:40,FALSE,NA,"952229674964475906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peterbrownbarra",5,TRUE,FALSE,NA,NA,"positive","joy","great news

directflights fromto sevilla

see you soon<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>

seville sevi…","@easyJet"
"21","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:20:39,FALSE,NA,"952228915308826625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AAbuBakre",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"22","@easyJet Thank you but it is being dealt with via a different method .",FALSE,0,"easyJet",2018-01-13 17:19:10,FALSE,"952227654027087872","952228540564549632","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrealholloway",0,FALSE,FALSE,NA,NA,"positive","unknown","thank you but it is being dealt with via a different method","@easyJet"
"23","@easyJet can you please find out where the red floral dress the lady wears in your advert is from? If you do I'll b… https://t.co/aNkldWMUDC",FALSE,0,"easyJet",2018-01-13 17:14:42,TRUE,NA,"952227415975133184","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lellahat",0,FALSE,FALSE,NA,NA,"neutral","joy","can you please find out where the red floral dress the lady wears in your advert is from if you do ill b…","@easyJet"
"24","@easyJet why do I keep getting this error message when I try to check myself in? https://t.co/t0PWVK4COa",FALSE,0,"easyJet",2018-01-13 17:14:32,FALSE,NA,"952227376968192001","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexlandrumx",0,FALSE,FALSE,NA,NA,"negative","unknown","why do i keep getting this error message when i try to check myself in","@easyJet"
"25","RT @Pret: @veganescapes @LadyBLouLou @Gatwick_Airport @easyJet @11elevenuk @vegansussex Have an amazing time! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,2018-01-13 17:12:41,FALSE,NA,"952226909349392384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vegansussex",2,TRUE,FALSE,NA,NA,"positive","surprise","have an amazing time <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>","@easyJet"
"26","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:12:35,FALSE,NA,"952226886805008384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Gail_art",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"27","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 17:05:21,FALSE,NA,"952225065319436288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidAmer77",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"28","Congrats to @easyJet take off 10 min earlier than expected!",FALSE,2,NA,2018-01-13 17:00:16,FALSE,NA,"952223783078776837",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DominicSandell",0,FALSE,FALSE,NA,NA,"positive","unknown","congrats totake offmin earlier than expected","@easyJet"
"29","RT @ShabadChawla: What a joke. @easyJet promise to reimburse meals after a flight cancellation, then flat out refuse. Can they just lie and…",FALSE,0,NA,2018-01-13 16:57:00,FALSE,NA,"952222963633410054",NA,"<a href=""http://racheljones2017.com"" rel=""nofollow"">racheljones2017</a>","jachel1980jones",2,TRUE,FALSE,NA,NA,"negative","unknown","what a jokepromise to reimburse meals after a flight cancellation then flat out refuse can they just lie and…","@easyJet"
"30","RT @ShabadChawla: What a joke. @easyJet promise to reimburse meals after a flight cancellation, then flat out refuse. Can they just lie and…",FALSE,0,NA,2018-01-13 16:54:22,FALSE,NA,"952222299519967232",NA,"<a href=""https://www.easyflightrefunds.co.uk"" rel=""nofollow"">EasyFlightRefunds</a>","EzFlightRefunds",2,TRUE,FALSE,NA,NA,"negative","unknown","what a jokepromise to reimburse meals after a flight cancellation then flat out refuse can they just lie and…","@easyJet"
"31","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 16:53:58,FALSE,NA,"952222200169488391",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaartenUhl",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"32","@CaitlynAdair @easyJet What do you think a crew members back would be like after 30 years of lifting people’s bags?… https://t.co/wvGqN9QTDs",FALSE,0,"CaitlynAdair",2018-01-13 16:48:54,TRUE,"952214460156006400","952220924849414144","193011797","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeCessnaPilot",0,FALSE,FALSE,NA,NA,"positive","joy","what do you think a crew members back would be like afteryears of lifting people’s bags…","@easyJet"
"33","What a joke. @easyJet promise to reimburse meals after a flight cancellation, then flat out refuse. Can they just l… https://t.co/1jNchxtp6i",FALSE,0,NA,2018-01-13 16:40:30,TRUE,NA,"952218811347939328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShabadChawla",2,FALSE,FALSE,NA,NA,"negative","unknown","what a jokepromise to reimburse meals after a flight cancellation then flat out refuse can they just l…","@easyJet"
"34","@MinisterForGin @British_Airways Agreed! Whatever you think about @easyJet it take just seconds to search and book.… https://t.co/M4Qv4kahZP",FALSE,0,"MinisterForGin",2018-01-13 16:34:58,TRUE,"952204155829063680","952217417022935041","20347111","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alanbav1",0,FALSE,FALSE,NA,NA,"positive","unknown","agreed whatever you think aboutit take just seconds to search and book…","@easyJet"
"35","Beautiful morning to fly Gatwick to Alicante @easyJet https://t.co/8yvn2TIsGv",FALSE,1,NA,2018-01-13 16:24:21,FALSE,NA,"952214748443168768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","clintskeeey",0,FALSE,FALSE,NA,NA,"positive","unknown","beautiful morning to fly gatwick to alicante","@easyJet"
"36","@easyJet elderly lady on my flight asked for help lifting bag into overhead locker. Cabin crew refused as app “not allowed”. Why is this?",FALSE,0,"easyJet",2018-01-13 16:23:13,FALSE,NA,"952214460156006400","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlynAdair",0,FALSE,FALSE,NA,NA,"negative","unknown","elderly lady on my flight asked for help lifting bag into overhead locker cabin crew refused as app “not allowed” why is this","@easyJet"
"37","@akinsoul @easyJet hmmm not sold on that",FALSE,0,"akinsoul",2018-01-13 16:16:27,FALSE,"952189214166257666","952212758107484161","398803040","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","starflyergold",0,FALSE,FALSE,NA,NA,"positive","unknown","hmmm not sold on that","@easyJet"
"38","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 16:13:25,FALSE,NA,"952211995993911296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Carls_bergg",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"39","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 16:07:29,FALSE,NA,"952210500087099392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Its_aiden",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"40","@easyJet first time flying easyJet yesterday and was quite impressed. Departed 15 mins early from Liverpool and arr… https://t.co/uFw4ieAzus",FALSE,0,"easyJet",2018-01-13 16:03:19,TRUE,NA,"952209453885153281","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rbarkley82",0,FALSE,FALSE,NA,NA,"positive","unknown","first time flying easyjet yesterday and was quite impressed departedmins early from liverpool and arr…","@easyJet"
"41","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 15:55:47,FALSE,NA,"952207556608495616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoenTravel",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"42","Just checked in for my @easyJet trip to #Alicante next month. Can’t wait!",FALSE,1,NA,2018-01-13 15:51:36,FALSE,NA,"952206503100010496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","NORTHER_AVIATOR",0,FALSE,FALSE,NA,NA,"positive","unknown","just checked in for mytrip to alicante next month can’t wait","@easyJet"
"43","@easyJet But surely it should be based on your actual flight date and not when you paid. The flight takes place aft… https://t.co/Vt25IaMv4U",FALSE,0,"easyJet",2018-01-13 15:48:54,TRUE,"952205097177673728","952205827229839360","38676903","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prodlegacy",0,FALSE,FALSE,NA,NA,"neutral","unknown","but surely it should be based on your actual flight date and not when you paid the flight takes place aft…","@easyJet"
"44","RT @joelat___: #Onthisday eleven years ago at @GeneveAeroport - @easyjet @Boeing #B737-700

https://t.co/GlYnlmFFck

#avgeek #aviation #tra…",FALSE,0,NA,2018-01-13 15:40:49,FALSE,NA,"952203792509997056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spotter_bcnlebl",5,TRUE,FALSE,NA,NA,"positive","unknown","onthisday eleven years ago atb



avgeek aviation tra…","@easyJet"
"45","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 15:40:49,FALSE,NA,"952203790253477888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Daniguramba",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"46","RT @joelat___: #Onthisday eleven years ago at @GeneveAeroport - @easyjet @Boeing #B737-700

https://t.co/GlYnlmFFck

#avgeek #aviation #tra…",FALSE,0,NA,2018-01-13 15:22:52,FALSE,NA,"952199272509960193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Retwee1Aviation",5,TRUE,FALSE,NA,NA,"positive","unknown","onthisday eleven years ago atb



avgeek aviation tra…","@easyJet"
"47","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 15:21:26,FALSE,NA,"952198911007121408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heyimliam_",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"48","@BobbyNuisance @easyJet Disgusting!",FALSE,0,"BobbyNuisance",2018-01-13 15:19:19,FALSE,"952180330781462528","952198381706924032","3460814482","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VirginiaSwallow",0,FALSE,FALSE,NA,NA,"negative","disgust","disgusting","@easyJet"
"49","RT @John_W_Mullins: If you're flying @easyJet this month, be sure to read my interview for EasyJet Traveller Magazine on #venturecapital #c…",FALSE,0,NA,2018-01-13 15:18:16,FALSE,NA,"952198115481833474",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StartUp_Matt",1,TRUE,FALSE,NA,NA,"positive","unknown","if youre flyingthis month be sure to read my interview for easyjet traveller magazine on venturecapital c…","@easyJet"
"50","@easyJet Yes. Thanks. I appreciate the call. Summary: Having still not been paid you still say it’s impossible to c… https://t.co/hIPYPH4Kv7",FALSE,0,"easyJet",2018-01-13 15:16:48,TRUE,"952197042092244992","952197747033231365","38676903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mickgadd",0,FALSE,FALSE,NA,NA,"neutral","joy","yes thanks i appreciate the call summary having still not been paid you still say it’s impossible to c…","@easyJet"
"51","If you're flying @easyJet this month, be sure to read my interview for EasyJet Traveller Magazine on… https://t.co/5uVeaV66TK",FALSE,0,NA,2018-01-13 15:15:25,TRUE,NA,"952197399098855424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","John_W_Mullins",1,FALSE,FALSE,NA,NA,"positive","unknown","if youre flyingthis month be sure to read my interview for easyjet traveller magazine on…","@easyJet"
"52","@McWhirterAlex @KLM @easyJet @EconomyBeyond Well there Amstelveen HQ is a mere local agent from the big French HQ s… https://t.co/aLAsFf2Id8",FALSE,1,"McWhirterAlex",2018-01-13 15:12:38,TRUE,"951804999994048512","952196698780168193","1538739204","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","drs_Andor",0,FALSE,FALSE,NA,NA,"negative","unknown","well there amstelveen hq is a mere local agent from the big french hq s…","@easyJet"
"53","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 15:11:35,FALSE,NA,"952196433238773760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thermalhound",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"54","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 14:53:59,FALSE,NA,"952192002900267008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnglishMarkusha",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"55","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 14:52:15,FALSE,NA,"952191566822674432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marksdavies1",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"56","RT @KLM: Hey @easyJet, how's your day so far? Have a good one! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> #KissAGingerDay https://t.co/OKPtrPVPkX",FALSE,0,NA,2018-01-13 14:48:05,FALSE,NA,"952190520570376192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ragin_Spice",684,TRUE,FALSE,NA,NA,"positive","joy","heyhows your day so far have a good one <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> kissagingerday","@easyJet"
"57","@starflyergold @easyJet This evening! I started with my other fave....Kalbsbeuschel <ed><U+00A0><U+00BE><ed><U+00B4><U+00A4> https://t.co/771zbWd5ot",FALSE,0,"starflyergold",2018-01-13 14:42:54,FALSE,"952174067615977472","952189214166257666","268794263","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akinsoul",0,FALSE,FALSE,NA,NA,"positive","unknown","this evening i started with my other favekalbsbeuschel <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E34>","@easyJet"
